transcript,Gene Ontology IDs
TRINITY_GG_12687_c10_g1_i1.p1,GO:0000045; GO:0000422; GO:0004672; GO:0004674; GO:0005524; GO:0005737; GO:0005776; GO:0006468; GO:0006914; GO:0007409; GO:0007411; GO:0008340; GO:0008361; GO:0009792; GO:0010508; GO:0012501; GO:0016236; GO:0016477; GO:0018105; GO:0030424; GO:0030516; GO:0032880; GO:0034045; GO:0034727; GO:0040014; GO:0040024; GO:0042594; GO:0043005; GO:0043025; GO:0043277; GO:0044805; GO:0045138; GO:0046777; GO:0046872; GO:0048675; GO:0061709; GO:0106310; GO:1902554
TRINITY_GG_7646_c20_g1_i7.p3,GO:0000045; GO:0000422; GO:0005829; GO:0006497; GO:0009267; GO:0019898; GO:0032266; GO:0034045; GO:0034497; GO:0044804; GO:0080025
TRINITY_GG_12837_c9_g1_i1.p3,GO:0000045; GO:0000422; GO:0006501; GO:0034045; GO:0034274; GO:0044804; GO:0045087
TRINITY_GG_5511_c42_g1_i1.p1,GO:0000045; GO:0000423; GO:0004175; GO:0004197; GO:0005737; GO:0005739; GO:0005776; GO:0005783; GO:0005829; GO:0006508; GO:0006914; GO:0008233; GO:0008234; GO:0009267; GO:0015031; GO:0016237; GO:0019786; GO:0031173; GO:0031410; GO:0034497; GO:0045732; GO:0051697; GO:0097110
TRINITY_GG_15499_c4_g1_i1.p1,GO:0000045; GO:0000502; GO:0005654; GO:0005737; GO:0005776; GO:0005783; GO:0005829; GO:0005886; GO:0006511; GO:0016235; GO:0016236; GO:0016241; GO:0019900; GO:0030433; GO:0031396; GO:0031398; GO:0031410; GO:0031593; GO:0032991; GO:0034140; GO:0034976; GO:0035973; GO:0042802; GO:0048471; GO:0071456; GO:0097352; GO:1901340; GO:1902175; GO:1903071
TRINITY_GG_14379_c20_g1_i1.p1,GO:0000045; GO:0001649; GO:0001894; GO:0005634; GO:0005776; GO:0005829; GO:0006511; GO:0008104; GO:0010508; GO:0016605; GO:0031410; GO:0043130; GO:0045893; GO:1903828
TRINITY_GG_11429_c13_g1_i1.p1,GO:0000045; GO:0003924; GO:0005525; GO:0005737; GO:0005776; GO:0005813; GO:0005829; GO:0005886; GO:0006886; GO:0006968; GO:0010008; GO:0030054; GO:0030670; GO:0042308; GO:0045335; GO:0046039; GO:0060271; GO:0097094
TRINITY_GG_17164_c6_g1_i2.p1,GO:0000045; GO:0005543; GO:0005737; GO:0005829; GO:0009267; GO:0016020; GO:0042171; GO:0048488; GO:0050803; GO:0061174; GO:0097320; GO:0097749; GO:0097753; GO:0150007
TRINITY_GG_13857_c11_g1_i1.p1,GO:0000045; GO:0005739; GO:0005783; GO:0006915; GO:0032469; GO:0034497; GO:0044325; GO:0072659; GO:1990456
TRINITY_GG_11829_c15_g1_i1.p1,GO:0000045; GO:0005789; GO:0007399; GO:0016021; GO:0017128; GO:0032365; GO:0044233; GO:0044830
TRINITY_GG_12946_c17_g1_i1.p1,GO:0000045; GO:0005789; GO:0016021; GO:0030176; GO:0045050; GO:0071816; GO:0072546; GO:0097631
